name,shot_made_flag,shot_type,shot_distance,x,y,,
Stephen Curry,0,2PT Field Goal,16,-130,97,,
Stephen Curry,0,3PT Field Goal,23,-235,25,,
Stephen Curry,0,2PT Field Goal,3,26,22,,
Stephen Curry,0,3PT Field Goal,28,-127,252,,
Stephen Curry,0,2PT Field Goal,21,-210,42,,
Stephen Curry,0,3PT Field Goal,25,147,213,,
Stephen Curry,0,3PT Field Goal,24,-109,220,,
Stephen Curry,0,3PT Field Goal,25,-119,222,,
Stephen Curry,0,3PT Field Goal,23,-229,26,,
Stephen Curry,0,2PT Field Goal,8,0,88,,
Stephen Curry,0,3PT Field Goal,25,-128,217,,
Stephen Curry,0,3PT Field Goal,26,179,192,,
Stephen Curry,0,3PT Field Goal,24,127,214,,
Stephen Curry,0,3PT Field Goal,25,-202,149,,
Stephen Curry,0,3PT Field Goal,28,-136,246,,
Stephen Curry,0,2PT Field Goal,19,-82,179,,
