name,shot_made_flag,shot_type,shot_distance,x,y
DeMar DeRozan,0,2PT Field Goal,21,-116,176
DeMar DeRozan,0,2PT Field Goal,20,-185,94
DeMar DeRozan,0,2PT Field Goal,16,-19,159
DeMar DeRozan,0,3PT Field Goal,23,-237,1
DeMar DeRozan,0,2PT Field Goal,13,9,131
DeMar DeRozan,1,2PT Field Goal,20,40,198
DeMar DeRozan,0,2PT Field Goal,20,-54,195
DeMar DeRozan,0,2PT Field Goal,20,-172,108
DeMar DeRozan,1,3PT Field Goal,23,-231,6
DeMar DeRozan,0,2PT Field Goal,18,-112,149
DeMar DeRozan,1,2PT Field Goal,14,-11,140
DeMar DeRozan,0,2PT Field Goal,19,-164,112
DeMar DeRozan,0,2PT Field Goal,16,-152,53
DeMar DeRozan,0,2PT Field Goal,19,-190,6
DeMar DeRozan,0,2PT Field Goal,20,-52,200
DeMar DeRozan,0,2PT Field Goal,3,18,25
DeMar DeRozan,1,2PT Field Goal,14,-43,143
DeMar DeRozan,0,2PT Field Goal,16,-163,9
DeMar DeRozan,0,2PT Field Goal,18,67,175
DeMar DeRozan,1,2PT Field Goal,16,102,129
DeMar DeRozan,0,2PT Field Goal,20,31,203
DeMar DeRozan,0,3PT Field Goal,26,-213,159
DeMar DeRozan,0,2PT Field Goal,15,-142,61
DeMar DeRozan,0,2PT Field Goal,12,-54,108
DeMar DeRozan,0,2PT Field Goal,18,-180,-8
DeMar DeRozan,0,2PT Field Goal,19,86,176
DeMar DeRozan,0,2PT Field Goal,15,-150,1
DeMar DeRozan,0,2PT Field Goal,16,-11,164
DeMar DeRozan,0,2PT Field Goal,17,-128,112
DeMar DeRozan,0,2PT Field Goal,13,61,126
DeMar DeRozan,0,2PT Field Goal,18,124,137
DeMar DeRozan,0,2PT Field Goal,4,-30,31
DeMar DeRozan,0,2PT Field Goal,11,-54,101
DeMar DeRozan,0,2PT Field Goal,16,-169,0
DeMar DeRozan,0,2PT Field Goal,21,53,205
DeMar DeRozan,0,2PT Field Goal,20,-43,205
DeMar DeRozan,0,2PT Field Goal,18,181,3
DeMar DeRozan,0,2PT Field Goal,18,-18,184
DeMar DeRozan,0,3PT Field Goal,22,-229,3
DeMar DeRozan,0,2PT Field Goal,16,-164,7
DeMar DeRozan,0,3PT Field Goal,23,233,1
DeMar DeRozan,0,2PT Field Goal,12,-54,115
DeMar DeRozan,0,2PT Field Goal,19,102,164
DeMar DeRozan,0,2PT Field Goal,15,-122,101
DeMar DeRozan,0,3PT Field Goal,22,226,4
DeMar DeRozan,1,2PT Field Goal,14,141,14
DeMar DeRozan,0,2PT Field Goal,15,-101,123
DeMar DeRozan,0,2PT Field Goal,13,-130,44
DeMar DeRozan,0,2PT Field Goal,15,113,113
DeMar DeRozan,0,3PT Field Goal,23,-235,1
DeMar DeRozan,0,2PT Field Goal,5,-8,56
DeMar DeRozan,0,2PT Field Goal,15,121,104
DeMar DeRozan,0,2PT Field Goal,18,187,6
DeMar DeRozan,0,2PT Field Goal,20,2,206
DeMar DeRozan,0,2PT Field Goal,16,168,0
DeMar DeRozan,0,2PT Field Goal,18,88,167
DeMar DeRozan,0,2PT Field Goal,17,118,127
DeMar DeRozan,0,3PT Field Goal,23,231,0
DeMar DeRozan,0,2PT Field Goal,17,-97,149
DeMar DeRozan,0,2PT Field Goal,17,-130,123
DeMar DeRozan,0,2PT Field Goal,19,65,189
DeMar DeRozan,0,2PT Field Goal,20,102,178
DeMar DeRozan,0,2PT Field Goal,14,-147,-2
DeMar DeRozan,1,2PT Field Goal,18,-180,50
DeMar DeRozan,0,3PT Field Goal,26,47,265
DeMar DeRozan,0,2PT Field Goal,20,193,56
DeMar DeRozan,0,2PT Field Goal,4,-4,44
DeMar DeRozan,0,3PT Field Goal,25,-207,154
DeMar DeRozan,0,2PT Field Goal,20,-201,-2
DeMar DeRozan,0,2PT Field Goal,11,1,110
DeMar DeRozan,0,2PT Field Goal,15,-146,39
DeMar DeRozan,0,2PT Field Goal,16,129,101
